id,customer_message,context,expected_intent,expected_intent_source,expected_resolution,should_escalate,should_escalate_source,notes,source_pair_id
g0010,"I have an issue with my orders, I spoke on the phone yesterday and they said I would receive an email investigating the issue. It’s been 24+ hrs and I still haven’t received anything.",single-turn (no multi-turn thread reconstructed - see README limitations),other_unclear,heuristic_ruleset (not human-verified),"Sorry to hear that, Georgia. Without revealing any personal information, can you tell me a bit more about the issue?^TI",true,heuristic_rule (not human-verified),auto-generated example; expected_intent and should_escalate are pending human review,p004436
g0011,"hey guys I’ve been having issues, my music keeps glitching",single-turn (no multi-turn thread reconstructed - see README limitations),other_unclear,heuristic_ruleset (not human-verified),I'm sorry to hear your music isn't working properly! We're here to help! What type of device are you listening on? ^ME,true,heuristic_rule (not human-verified),auto-generated example; expected_intent and should_escalate are pending human review,p015618
g0012,Tried on another browser and got through! Thanks for your help #happycustomers,single-turn (no multi-turn thread reconstructed - see README limitations),other_unclear,heuristic_ruleset (not human-verified),Happy to hear it worked Beverly. Enjoy the show! ^BZ,true,heuristic_rule (not human-verified),auto-generated example; expected_intent and should_escalate are pending human review,p007381
g0013,App is updated! I tried on the web browser as well,single-turn (no multi-turn thread reconstructed - see README limitations),other_unclear,heuristic_ruleset (not human-verified),Kindly get in touch with us here: and we’ll be glad to help you. ^NS,true,heuristic_rule (not human-verified),auto-generated example; expected_intent and should_escalate are pending human review,p020735
g0014,"Hello , does this work in Ireland ? #AskAlexa",single-turn (no multi-turn thread reconstructed - see README limitations),other_unclear,heuristic_ruleset (not human-verified),"Hi Dee, are looking to use it on a particular device, such as an Echo ? ^TD",true,heuristic_rule (not human-verified),auto-generated example; expected_intent and should_escalate are pending human review,p020794
g0015,"Dia 5 (terça que vem se eu não me engano) mas eu espero que não fique uma semana lá, né? 😃",single-turn (no multi-turn thread reconstructed - see README limitations),other_unclear,heuristic_ruleset (not human-verified),Com certeza vai chegar na terça! E qual livro você vai começar a ler? ^NP,true,heuristic_rule (not human-verified),auto-generated example; expected_intent and should_escalate are pending human review,p004718
g0016,What kind of offer show?? How many discount apply on oneplus 5 ?? Greate Nice offer😡😡,single-turn (no multi-turn thread reconstructed - see README limitations),other_unclear,heuristic_ruleset (not human-verified),The deal on the product is we have a No cost EMI option available for you. ^HN,true,heuristic_rule (not human-verified),auto-generated example; expected_intent and should_escalate are pending human review,p009946
g0017,"It's all correct and up to date, I have used the same card recently elsewhere, and previously on Amazon to order without hassle.",single-turn (no multi-turn thread reconstructed - see README limitations),other_unclear,heuristic_ruleset (not human-verified),"Sorry to see that, have you received an email with more info about the delay? ^JJ",true,heuristic_rule (not human-verified),auto-generated example; expected_intent and should_escalate are pending human review,p011864
g0018,Here is an open letter since only 1 sided view on how one cannot move funds frm Amazon pay is being told to me.,single-turn (no multi-turn thread reconstructed - see README limitations),other_unclear,heuristic_ruleset (not human-verified),We're sorry to know about the hassle. We've received your details. Our team is working on it and will revert to you on priority.^RS,true,heuristic_rule (not human-verified),auto-generated example; expected_intent and should_escalate are pending human review,p020592
g0019,"Thanks, here it is:",single-turn (no multi-turn thread reconstructed - see README limitations),other_unclear,heuristic_ruleset (not human-verified),"Hi there, have you tried using another browser? It may also be down to internet traffic if the problem still persists let us know.^HS",true,heuristic_rule (not human-verified),auto-generated example; expected_intent and should_escalate are pending human review,p007380
g0020,Still waiting on my package.,single-turn (no multi-turn thread reconstructed - see README limitations),other_unclear,heuristic_ruleset (not human-verified),We'd like to take a closer look at this with you. Please use the link provided by SH to reach out to us at your earliest convenience. ^LJ,true,heuristic_rule (not human-verified),auto-generated example; expected_intent and should_escalate are pending human review,p014517
g0021,"Hi, Amazon please look into the enclosed issue to avoid the same with your customers &amp; improve your processes.",single-turn (no multi-turn thread reconstructed - see README limitations),other_unclear,heuristic_ruleset (not human-verified),Further I have taken your feedback and forwarded it internally to our team. 2/2 ^SB,true,heuristic_rule (not human-verified),auto-generated example; expected_intent and should_escalate are pending human review,p013948
g0022,Ordered slipper got delayed by 4 days then it got cancelled. CC kept telling it will arrive next day.,single-turn (no multi-turn thread reconstructed - see README limitations),order_status_delivery,heuristic_ruleset (not human-verified),I'll share this as a feedback internally to the concerned team for review. ^NR 2/2,false,heuristic_rule (not human-verified),auto-generated example; expected_intent and should_escalate are pending human review,p018548
g0023,is there a way to track the origin of a shipment I received AT MY WORK? I received an odd delivery &amp; do not know who it came from?,single-turn (no multi-turn thread reconstructed - see README limitations),order_status_delivery,heuristic_ruleset (not human-verified),"How odd, Jamie! Please contact us via phone or chat so we can discuss this with you directly: ^MW",true,heuristic_rule (not human-verified),auto-generated example; expected_intent and should_escalate are pending human review,p001973
g0024,order is not delivered but its showing delivery maybe the delivery executive handed to other person or wrong address,single-turn (no multi-turn thread reconstructed - see README limitations),order_status_delivery,heuristic_ruleset (not human-verified),"Please don’t provide the order details, we consider it to be personal info. Our Twitter page is visible to public. 2/2 ^MA",false,heuristic_rule (not human-verified),auto-generated example; expected_intent and should_escalate are pending human review,p017948
g0025,are you really going to make me return my mattress (200lbs) just to rebuy it? That’s a lot of shipping costs! Help with some common sense!,single-turn (no multi-turn thread reconstructed - see README limitations),order_status_delivery,heuristic_ruleset (not human-verified),"I'm sorry for the trouble with the order! Without providing personal or account specific information, can you tell us more about what's going on? We're here to help! ^TG",false,heuristic_rule (not human-verified),auto-generated example; expected_intent and should_escalate are pending human review,p008479
g0026,"Ordered an arcade stick and payed extra for a guaranteed delivery for today on Amazon. Now delayed to tomorrow, this upsets me greatly.",single-turn (no multi-turn thread reconstructed - see README limitations),order_status_delivery,heuristic_ruleset (not human-verified),Sorry to hear that. Were you provided with a reason for the delay?^TI,false,heuristic_rule (not human-verified),auto-generated example; expected_intent and should_escalate are pending human review,p004251
g0027,I’m waiting on one now too that was supposed to arrive Monday. Now it’s Wednesday night and no package yet. Hearing it from many friends.,single-turn (no multi-turn thread reconstructed - see README limitations),order_status_delivery,heuristic_ruleset (not human-verified),"I'm sorry you haven't received your item! Were you given an updated delivery date? If no, can you please provide us with the carrier, found here: ^AC",false,heuristic_rule (not human-verified),auto-generated example; expected_intent and should_escalate are pending human review,p004661
g0028,can you ask driver to deliver item today as he did not ring or knock the door,single-turn (no multi-turn thread reconstructed - see README limitations),order_status_delivery,heuristic_ruleset (not human-verified),"We're not able to access your account via Twitter, but we can look into re-delivery w/ you if you'll please phone us again. ^LB",true,heuristic_rule (not human-verified),auto-generated example; expected_intent and should_escalate are pending human review,p018028
g0029,"I paid for mobile12 day back,to be dely by 26thwasted lot of time with cust service,2day back amazon claims delivered without dely",single-turn (no multi-turn thread reconstructed - see README limitations),order_status_delivery,heuristic_ruleset (not human-verified),Kindly drop in your details here: and we'll have this resolved. ^GK,false,heuristic_rule (not human-verified),auto-generated example; expected_intent and should_escalate are pending human review,p010958
g0030,"There could be today itself. Amazon charges for one day delivery. If not delivered refund. Similarly, for prime members refund eligible",single-turn (no multi-turn thread reconstructed - see README limitations),order_status_delivery,heuristic_ruleset (not human-verified),Prime deliveries are product specific. You may check on the product details page for the prime delivery eligibility. ^SB,false,heuristic_rule (not human-verified),auto-generated example; expected_intent and should_escalate are pending human review,p014055
g0031,"hey, i tried to do my own haircut today. For unrelated reasons (:p) I'm looking for beanie delivery ASAP. Any help on my order ?",single-turn (no multi-turn thread reconstructed - see README limitations),order_status_delivery,heuristic_ruleset (not human-verified),Uh oh! At least fall is the perfect time to wear a beanie! What does tracking show here: ^MB,false,heuristic_rule (not human-verified),auto-generated example; expected_intent and should_escalate are pending human review,p022147
g0032,#Amazon What has happened to Amazon Prime deliveries. Should be next day. Now had 3 where either not arrived or are delayed,single-turn (no multi-turn thread reconstructed - see README limitations),order_status_delivery,heuristic_ruleset (not human-verified),We don't want to let you down! Have we missed our expected delivery date here: ? ^JE,false,heuristic_rule (not human-verified),auto-generated example; expected_intent and should_escalate are pending human review,p021264
g0033,"Hey please tell your vendors that addressing packages to customer ""or current resident"" is not acceptable shipping procedures.",single-turn (no multi-turn thread reconstructed - see README limitations),order_status_delivery,heuristic_ruleset (not human-verified),We would love to help in any way. Please provide your feedback here for review: ^SH,false,heuristic_rule (not human-verified),auto-generated example; expected_intent and should_escalate are pending human review,p000572
g0034,"Being #harrassed by the delivery guys for days, reached out to customer service multiple times but hardly any resolution !",single-turn (no multi-turn thread reconstructed - see README limitations),order_status_delivery,heuristic_ruleset (not human-verified),"Please don't provide your order details, we consider it to be personal information. Our page is visible to the public. ^KA",false,heuristic_rule (not human-verified),auto-generated example; expected_intent and should_escalate are pending human review,p000601
g0035,"I am not filling anymore details anywhere,u check the registered account with email id __email__ and work on delivery of one+5",single-turn (no multi-turn thread reconstructed - see README limitations),order_status_delivery,heuristic_ruleset (not human-verified),"I'm sorry, we haven't received your details yet. Kindly forward your details through the link provided earlier. ^EM",false,heuristic_rule (not human-verified),auto-generated example; expected_intent and should_escalate are pending human review,p014691
g0036,I have a proof that your accounts team can not differentiate between purchased date and delivery date of a product.,single-turn (no multi-turn thread reconstructed - see README limitations),order_status_delivery,heuristic_ruleset (not human-verified),"If any of your concern remains unresolved, please revert to our latest correspondence and we'll get back. ^YP",false,heuristic_rule (not human-verified),auto-generated example; expected_intent and should_escalate are pending human review,p012043
g0037,By any chance I'll be getting my orders 115106823818 &amp; 115106823818 delivered to me or will have to pick them from you warehouse?,single-turn (no multi-turn thread reconstructed - see README limitations),order_status_delivery,heuristic_ruleset (not human-verified),"Please don't provide your order details, we consider it to be personal info. Our page is visible to the public. (2/2) ^MN",false,heuristic_rule (not human-verified),auto-generated example; expected_intent and should_escalate are pending human review,p017717
g0038,"Seriously annoyed that my mattress from hasn't arrived yet and tracking says ""wait a few days""",single-turn (no multi-turn thread reconstructed - see README limitations),order_status_delivery,heuristic_ruleset (not human-verified),I'm so sorry for the wait! What was the original estimated delivery date? ^DY,false,heuristic_rule (not human-verified),auto-generated example; expected_intent and should_escalate are pending human review,p004993
g0039,Dear .. can you explain what has happened to my prime membership delivery? One day? In stock and showing delivery 4 days away,single-turn (no multi-turn thread reconstructed - see README limitations),order_status_delivery,heuristic_ruleset (not human-verified),Please check our help pages for Black Friday and Cyber week delivery dates: ^BE,false,heuristic_rule (not human-verified),auto-generated example; expected_intent and should_escalate are pending human review,p006064
g0040,I'm hvng issues with my recently bought 100% original Motorola turbo power charger 2.8 amp delivered on 4th of Nov. It's been less than a month and I'm not getting any solution either from custmr support or the seller. Order id 4__credit_card__ amazon id. Ankursingh,single-turn (no multi-turn thread reconstructed - see README limitations),order_status_delivery,heuristic_ruleset (not human-verified),"Please don't provide your order details, we consider it to be personal information. Our page is visible to the public. 2/2 ^SY",false,heuristic_rule (not human-verified),auto-generated example; expected_intent and should_escalate are pending human review,p003213
g0041,Why does your Prime Shipping suck so bad now. I can't get a single order delivered correctly.,single-turn (no multi-turn thread reconstructed - see README limitations),order_status_delivery,heuristic_ruleset (not human-verified),I'm sorry for any inconvenience! Have you reported this to us? Is there a current order issue: ^GM,false,heuristic_rule (not human-verified),auto-generated example; expected_intent and should_escalate are pending human review,p015785
g0042,"Just bought the most pointless thing. It's a button that, when pressed, will automatically order me coffee from . Hello future, Tom has arrived.",single-turn (no multi-turn thread reconstructed - see README limitations),order_status_delivery,heuristic_ruleset (not human-verified),"Welcome to the future, Tom, we're quite happy to have you with us! 😃 ^JR",false,heuristic_rule (not human-verified),auto-generated example; expected_intent and should_escalate are pending human review,p005501
g0043,They explained that I should talk about shipping rates with amazon since they set the price. So why almost $20 🤔,single-turn (no multi-turn thread reconstructed - see README limitations),order_status_delivery,heuristic_ruleset (not human-verified),All returns are handled by the seller. They would be in the best position to resolve this issue. ^ZW,false,heuristic_rule (not human-verified),auto-generated example; expected_intent and should_escalate are pending human review,p011640
g0044,Ok thanks for letting me know. Would there be somewhere I could see what does /doesnt work here ?,single-turn (no multi-turn thread reconstructed - see README limitations),damaged_defective_item,heuristic_ruleset (not human-verified),"If you'd like, we can take a closer look at this with you. Please reach us via phone/chat here: ^KP",true,heuristic_rule (not human-verified),auto-generated example; expected_intent and should_escalate are pending human review,p020796
g0045,I placed an order for a purifier and I received a damaged product and now u guys are now replacing it.M sick of such behaviour,single-turn (no multi-turn thread reconstructed - see README limitations),damaged_defective_item,heuristic_ruleset (not human-verified),Sorry for the hassle. Please report this to our support team here: and we'll check this. ^HN,false,heuristic_rule (not human-verified),auto-generated example; expected_intent and should_escalate are pending human review,p021243
g0046,"Don't buy from , you'll likely get a counterfeit product. Instead head over to",single-turn (no multi-turn thread reconstructed - see README limitations),damaged_defective_item,heuristic_ruleset (not human-verified),Are you having trouble with a current order from us: We'd like to help if possible. ^EP,false,heuristic_rule (not human-verified),auto-generated example; expected_intent and should_escalate are pending human review,p019358
g0047,. Very good. Pre-order album to get access to pre-sale then it doesn't work.,single-turn (no multi-turn thread reconstructed - see README limitations),damaged_defective_item,heuristic_ruleset (not human-verified),Sorry to see that. Please get in touch using ^BM,false,heuristic_rule (not human-verified),auto-generated example; expected_intent and should_escalate are pending human review,p001327
g0048,got amazon uk beta code for bf2 and its not working??????,single-turn (no multi-turn thread reconstructed - see README limitations),damaged_defective_item,heuristic_ruleset (not human-verified),Sorry to hear this! Please get in touch with EA for assistance with this. ^RL,false,heuristic_rule (not human-verified),auto-generated example; expected_intent and should_escalate are pending human review,p010040
g0049,Should I open the parcel and inspect the item first? Maybe only the parcel is damaged?,single-turn (no multi-turn thread reconstructed - see README limitations),damaged_defective_item,heuristic_ruleset (not human-verified),"Yes, please do and please let us know how it goes! ^RL",false,heuristic_rule (not human-verified),auto-generated example; expected_intent and should_escalate are pending human review,p009954
g0050,This doesn't work because you locked my account,single-turn (no multi-turn thread reconstructed - see README limitations),damaged_defective_item,heuristic_ruleset (not human-verified),I'm sorry about that! Please use this link: as this team is specifically trained to assist with your account. ^EZ,false,heuristic_rule (not human-verified),auto-generated example; expected_intent and should_escalate are pending human review,p006638
g0051,My new fridge came broken. no one is replacing it and you guys took my wrking fridge! #badcustomerservice,single-turn (no multi-turn thread reconstructed - see README limitations),damaged_defective_item,heuristic_ruleset (not human-verified),details here: and I'll get back to you on this. 2/2 ^SH,false,heuristic_rule (not human-verified),auto-generated example; expected_intent and should_escalate are pending human review,p017242
g0052,d worst product i bought frm Amazon.not working proprly,single-turn (no multi-turn thread reconstructed - see README limitations),damaged_defective_item,heuristic_ruleset (not human-verified),"Sorry to hear that, please contact us here: so that we can assist you accordingly. ^SU",true,heuristic_rule (not human-verified),auto-generated example; expected_intent and should_escalate are pending human review,p001706
g0053,"Another day, another bent vinyl from . Do you have any quality control before sending out damaged products?",single-turn (no multi-turn thread reconstructed - see README limitations),damaged_defective_item,heuristic_ruleset (not human-verified),Hey Benno! I'm sorry your vinyl came that way. You can see all refund/replacement options here: ^AJ,false,heuristic_rule (not human-verified),auto-generated example; expected_intent and should_escalate are pending human review,p002522
g0054,"Yep and yet again it's been ""delayed"" after the first one was ""damaged in transit"" this was meant to be sent to me as an apology. Still no laptop, Prime customer, keep getting offered an extra month of Prime as compensation (great example of Prime so far?!?) Insulting.",single-turn (no multi-turn thread reconstructed - see README limitations),damaged_defective_item,heuristic_ruleset (not human-verified),Please complete the form here: and someone from our team will be in touch to look into this.^PK,false,heuristic_rule (not human-verified),auto-generated example; expected_intent and should_escalate are pending human review,p009164
g0055,sold a defective car part and now won't help. Cost more than $700 in additional expenses. #amazonfail #,single-turn (no multi-turn thread reconstructed - see README limitations),damaged_defective_item,heuristic_ruleset (not human-verified),"I'm sorry to hear about this! Without giving any account details, can you provide more information on the issue? ^JS",false,heuristic_rule (not human-verified),auto-generated example; expected_intent and should_escalate are pending human review,p005289
g0056,Neither option is worth it as it's at my expense if the order is damaged and need it replaced.,single-turn (no multi-turn thread reconstructed - see README limitations),damaged_defective_item,heuristic_ruleset (not human-verified),Please give us a call here: so we can look over the situation with you! ^TR,false,heuristic_rule (not human-verified),auto-generated example; expected_intent and should_escalate are pending human review,p019131
g0057,A defective 25 ltr microwave oven Morphy Richards was supplied to me why return of product is not collected despite of repeated requests,single-turn (no multi-turn thread reconstructed - see README limitations),damaged_defective_item,heuristic_ruleset (not human-verified),"Please don't provide your order details, we consider it personal information. Our Twitter page is visible to public^VN(2/2)",false,heuristic_rule (not human-verified),auto-generated example; expected_intent and should_escalate are pending human review,p018642
g0058,Amzl US. A few things got wet and broken,single-turn (no multi-turn thread reconstructed - see README limitations),damaged_defective_item,heuristic_ruleset (not human-verified),I'm sorry to hear there was damage! We'd like to escalate this. Please send us order details here: ^BH,false,heuristic_rule (not human-verified),auto-generated example; expected_intent and should_escalate are pending human review,p019449
g0059,you international number doesn't work from Ireland and it also doesn't accept an Irish number,single-turn (no multi-turn thread reconstructed - see README limitations),damaged_defective_item,heuristic_ruleset (not human-verified),If the phone option doesn't work you can click the link on a computer to use the chat option or send us an email. ^JF,true,heuristic_rule (not human-verified),auto-generated example; expected_intent and should_escalate are pending human review,p016856
g0060,I received a damaged product today from amazon. order number 406-3167131-0133142 . amazon india,single-turn (no multi-turn thread reconstructed - see README limitations),damaged_defective_item,heuristic_ruleset (not human-verified),Please don't provide your order details as we consider it personal information. Our twitter page is visible to public.(2/2) ^CB,false,heuristic_rule (not human-verified),auto-generated example; expected_intent and should_escalate are pending human review,p011570
g0061,And then you trouble you customers like this. For sending fake product and charging them 700 bucks for it!,single-turn (no multi-turn thread reconstructed - see README limitations),damaged_defective_item,heuristic_ruleset (not human-verified),"I get your concern, we'd like to make things right. Please share your details on the link mentioned earlier. ^PS",false,heuristic_rule (not human-verified),auto-generated example; expected_intent and should_escalate are pending human review,p013386
g0062,"This was the second laptop you sent out as an apology for the other one which was ""damaged in transit"". Can't even get the apology to me though eh?",single-turn (no multi-turn thread reconstructed - see README limitations),damaged_defective_item,heuristic_ruleset (not human-verified),I understand your concern. We do ask that you allow us until 21:00 for delivery. You should have received an e-mail confirmation that contains information about the replacement item. Have you seen that e-mail come through? ^AL,false,heuristic_rule (not human-verified),auto-generated example; expected_intent and should_escalate are pending human review,p009161
g0063,7827823104 this is my register number.my id is not working.my 40000 rs stucks.plz unblcok,single-turn (no multi-turn thread reconstructed - see README limitations),damaged_defective_item,heuristic_ruleset (not human-verified),Please don’t provide account details as we consider them as personal info. Our Twitter page is visible to public. (2/2)^BS,false,heuristic_rule (not human-verified),auto-generated example; expected_intent and should_escalate are pending human review,p001377
g0064,"I’m hoping it’s not damaged-it’s a laptop, I won’t find out until Christmas Day as it’s a gift 🎁 how should I go about perhaps you making a note on my account, about possible damage, I have taken photos of the outer box",single-turn (no multi-turn thread reconstructed - see README limitations),damaged_defective_item,heuristic_ruleset (not human-verified),You can call or chat in to speak with us about options here: Keep us posted how that goes. ^SG,false,heuristic_rule (not human-verified),auto-generated example; expected_intent and should_escalate are pending human review,p005115
g0065,Ugh my copy of Wild Beauty came slightly damaged. This is what I get for ordering off Amazon 😭,single-turn (no multi-turn thread reconstructed - see README limitations),damaged_defective_item,heuristic_ruleset (not human-verified),I'm sorry your copy arrived in this condition. If you'd like to see some options we have: ^GM,false,heuristic_rule (not human-verified),auto-generated example; expected_intent and should_escalate are pending human review,p015957
g0066,Mera Refund abhi tak nahi aaya hai my Number is 8094891039,single-turn (no multi-turn thread reconstructed - see README limitations),refund_return,heuristic_ruleset (not human-verified),Apologies. We’d like to help you. Please fill this form: and We’ll contact you soon. ^MN,false,heuristic_rule (not human-verified),auto-generated example; expected_intent and should_escalate are pending human review,p001968
g0067,What is the update on this? When am I going to receive my refund?,single-turn (no multi-turn thread reconstructed - see README limitations),refund_return,heuristic_ruleset (not human-verified),You should've received an update here: Kindly check. ^NS,false,heuristic_rule (not human-verified),auto-generated example; expected_intent and should_escalate are pending human review,p017562
g0068,"Amazon facing funds issue, didn't have money to refund customer. Pending from 22nd September..",single-turn (no multi-turn thread reconstructed - see README limitations),refund_return,heuristic_ruleset (not human-verified),"My apologies for the stretch in the refund process. For updates on the same, please revert to our email. ^HA",false,heuristic_rule (not human-verified),auto-generated example; expected_intent and should_escalate are pending human review,p014084
g0069,help order number I wish to cancel ORDER # D01-3970700-6742663. Inadvertently ordered. Thanx,single-turn (no multi-turn thread reconstructed - see README limitations),refund_return,heuristic_ruleset (not human-verified),"We're happy to help! However, we aren't able to access your account via Twitter. Can you please contact us here: ^GS",true,heuristic_rule (not human-verified),auto-generated example; expected_intent and should_escalate are pending human review,p004289
g0070,"doesnt knw what they are saying,. What kind of people have u kept there..i want refund",single-turn (no multi-turn thread reconstructed - see README limitations),refund_return,heuristic_ruleset (not human-verified),We've responded to your query here: Kindly check. ^PS,false,heuristic_rule (not human-verified),auto-generated example; expected_intent and should_escalate are pending human review,p016967
g0071,"You shared this link to me which opens contact us page. Already contacted even tweeted, I paid you 500 rs on 22 sept, ban seller &amp; refund.",single-turn (no multi-turn thread reconstructed - see README limitations),refund_return,heuristic_ruleset (not human-verified),Sorry about this inconvenience. Please share your details here: and I'll get in touch with you. ^HD,false,heuristic_rule (not human-verified),auto-generated example; expected_intent and should_escalate are pending human review,p011468
g0072,can I get a refund on my prime membership while I wait?,single-turn (no multi-turn thread reconstructed - see README limitations),refund_return,heuristic_ruleset (not human-verified),Only the account specialist team will have access to your account. Customer service will be unable to take any action. ^ZH,false,heuristic_rule (not human-verified),auto-generated example; expected_intent and should_escalate are pending human review,p016876
g0073,what is the status of my order..Why have you not initiated refund,single-turn (no multi-turn thread reconstructed - see README limitations),refund_return,heuristic_ruleset (not human-verified),"I'd like to assist you on this, please share your details on the link here: ^PS",false,heuristic_rule (not human-verified),auto-generated example; expected_intent and should_escalate are pending human review,p016968
g0074,Both the same in solving the issues. It's more annoying when u get a completely different product. One std solution is return it.,single-turn (no multi-turn thread reconstructed - see README limitations),refund_return,heuristic_ruleset (not human-verified),"I'm sorry you're upset with us, Vivek. Could you let us know if any of your recent concerns go unaddressed? ^HA",false,heuristic_rule (not human-verified),auto-generated example; expected_intent and should_escalate are pending human review,p020887
g0075,are you kidding me? Twice now I've ordered a book and both times have had major issues with my order. Unreal. Give me a refund.,single-turn (no multi-turn thread reconstructed - see README limitations),refund_return,heuristic_ruleset (not human-verified),"Apologies. Can you tell us a bit more about the issues, were the books fulfilled by Amazon or a 3rd Party Seller? ^JJ",false,heuristic_rule (not human-verified),auto-generated example; expected_intent and should_escalate are pending human review,p012726
g0076,Pathetic services from u guys.i have requested a refund for my order on 1st nov u stupids hv not picked it up and now asking me to courier the product back to seller fucking worst service ever seen in my life.i vow to not use your fucking app again,single-turn (no multi-turn thread reconstructed - see README limitations),refund_return,heuristic_ruleset (not human-verified),"As informed, request you to self ship the order and the refund will be processed once we receive the product. (2/2) ^GD",false,heuristic_rule (not human-verified),auto-generated example; expected_intent and should_escalate are pending human review,p005369
g0077,For crying out loud. Pls refund my money I cant bear the claptrap. 1 is writing they will other is writing they won’t.armature cust serv rep,single-turn (no multi-turn thread reconstructed - see README limitations),refund_return,heuristic_ruleset (not human-verified),"I understand your concern, we've your details, we're working on your query and shall get back to you soon. ^SH",false,heuristic_rule (not human-verified),auto-generated example; expected_intent and should_escalate are pending human review,p020583
g0078,"Fake address, fake t-shirt and no refund. What is this nonsense. #BoycottAmazon are much better than Amazon.",single-turn (no multi-turn thread reconstructed - see README limitations),refund_return,heuristic_ruleset (not human-verified),"Apologies for the inconvenience, Kindly respond to the email you've received from us and we'll surely look into it.^KN",false,heuristic_rule (not human-verified),auto-generated example; expected_intent and should_escalate are pending human review,p013384
g0079,order 406-5346056-8286767 I want a refund for the product.,single-turn (no multi-turn thread reconstructed - see README limitations),refund_return,heuristic_ruleset (not human-verified),Sincere apologies for the mess. Please fill this form: so we could get this sorted soon. 1/2 ^RS,false,heuristic_rule (not human-verified),auto-generated example; expected_intent and should_escalate are pending human review,p001126
g0080,I bought an item last week and now it’s selling half price. I want to return and reorder or do you just want to refund me the difference?!,single-turn (no multi-turn thread reconstructed - see README limitations),refund_return,heuristic_ruleset (not human-verified),"Thanks for reaching out! Currently, we don't offer post-purchase price matching. ^GS",false,heuristic_rule (not human-verified),auto-generated example; expected_intent and should_escalate are pending human review,p005075
g0081,"So i will just accept the refund i did not ask for and buy the book in another place, thank you.",single-turn (no multi-turn thread reconstructed - see README limitations),refund_return,heuristic_ruleset (not human-verified),"We don't have access to your account, on Twitter. You'll want to contact us using the info above to explore that option. ^AF",false,heuristic_rule (not human-verified),auto-generated example; expected_intent and should_escalate are pending human review,p002399
